young	man	9063.326765794072
young	lady	4736.262335872338
good	deal	4635.339984662985
great	deal	4301.479135984734
shook	head	3479.2515460678133
long	time	3334.5506702416537
young	men	2754.7852394961087
drawing	room	2450.3895328351155
united	state	2245.334576832898
young	woman	2235.7026231467885
good	night	2181.5449975977726
good	bye	2121.175251509957
men	woman	1890.4297988914689
sir	john	1777.588080698157
short	time	1767.1100539407878
time	time	1721.4745068079367
day	day	1712.3982512270688
good	man	1499.2752659014054
young	gentleman	1483.255826119779
door	opened	1428.1337494838706
white	man	1425.4206038762916
open	door	1399.7518267184782
dining	room	1366.6407551212994
point	view	1350.7205036107134
human	nature	1327.984947114865
young	fellow	1310.9458230194207
young	girl	1304.8770617636185
ha	ha	1280.2079757458514
held	hand	1273.8852205299813
sir	thomas	1253.6978380909673
poor	man	1250.062892102544
poor	fellow	1237.273122259037
blue	eye	1235.511107165579
opened	door	1228.7051779138383
early	morning	1206.1154612950625
day	night	1200.4187574567543
eye	fixed	1199.1685073354022
matter	fact	1170.5087232274134
jesus	christ	1156.4506946656338
father	mother	1141.1507174586286
left	hand	1130.4467804151504
beg	pardon	1120.2496091339535
dear	sir	1115.0098895724852
good	time	1084.4892555373963
common	sense	1084.2208078000556
woman	child	1076.2894933835735
sitting	room	1047.8921955340127
good	natured	1038.3954229298681
young	people	1037.3869132166567
good	friend	1036.8599396355048
shook	hand	1028.7959635466798
white	men	1018.0714993505136
dear	friend	1007.258564576524
man	woman	1007.0995434117733
face	face	991.6068317334242
god	bless	991.0880031474968
good	fortune	976.1574001069494
great	man	973.5778837398983
left	room	959.9330480989584
sir	william	937.1085858929774
good	morning	922.7639199309209
door	open	909.7445166451713
hard	work	897.1712107740215
foot	high	894.6755045384842
shrugged	shoulder	851.072927342659
great	number	850.9532203544849
man	man	849.9586557675366
poor	girl	849.4022993947128
dark	eye	846.9731037396691
set	work	844.5629954215938
quarter	hour	843.1229619608326
laid	hand	841.042354224478
fifty	year	840.5068953408023
san	francisco	836.3942779044614
good	fellow	830.8710142356057
great	britain	818.9108373583388
answer	question	813.4335561250281
day	long	810.5081011067031
human	being	810.0946828892328
house	common	804.9119801928359
entered	room	794.5069403232193
short	distance	787.8438369104144
told	story	785.4340362957679
asked	question	782.1461860302613
post	office	781.334111897171
young	friend	778.8215525143858
ne	er	773.0885706643264
poor	child	771.8096421211451
pale	face	758.6582205896433
year	year	748.580591246853
natural	selection	743.8252139865558
black	eye	739.4626635859495
sir	henry	738.0105945185236
year	age	734.3956489791008
night	day	727.6976525926029
time	day	726.7218046773146
open	window	726.2810074777688
turned	head	715.2120075251732
good	reason	709.8087782884714
dead	man	709.4741137403131
closed	door	704.6540688670923
opened	eye	704.1030291312493
wife	child	698.8510249517689
hand	hand	696.9524816572105
heard	voice	693.1543592726366
sir	robert	688.0261066466444
caught	sight	666.782669754264
lord	byron	661.0889710007624
prime	minister	659.8276671947959
life	death	656.9898385297834
time	life	655.0311487381662
state	mind	654.7760874068802
chapter	ii	652.3641690734663
uncle	john	649.5066817589523
middle	age	645.8330772204461
human	life	644.5399619831601
open	air	643.814323968695
shaking	head	641.9522936459249
day	passed	640.5598729913771
closed	eye	639.6145032040008
poor	woman	639.0218024378541
good	luck	637.9534513402216
honest	man	633.8889518444959
chapter	iii	632.9436819252545
hiding	place	631.4694787951182
morrow	morning	631.4095261976826
dear	dear	628.504651491035
wild	beast	626.8977260076999
heart	beat	615.4817416494135
large	number	614.9415353414697
sir	walter	614.5809773390461
chapter	iv	613.7009052229287
shake	hand	613.1219935664542
sir	launcelot	607.170733064457
poor	dear	606.867462728244
good	humour	606.227358292361
good	woman	599.7097442469499
dear	lady	594.3774193787278
wide	open	593.633358764274
brother	sister	592.9958732068051
dear	fellow	591.6356994594988
sir	george	591.24306507831
dear	boy	585.5429364748761
sir	james	584.5413518518092
love	love	577.9323631179818
good	men	573.5564596019746
day	work	572.1732488121111
fell	asleep	571.9891530232144
poor	creature	568.8686813373721
brother	law	565.2963106146432
door	closed	560.0081541884108
great	men	559.3010207301152
good	people	558.0383206554544
rose	foot	556.4258647924962
tear	eye	554.4174893934716
blue	sky	552.048857232185
man	life	551.850670221741
good	work	551.6052483296504
chapter	vi	549.8832336191374
glad	hear	549.6905031892541
poor	boy	548.2275694849379
early	day	547.9754438302556
arm	chair	547.7384507421632
dear	child	546.2822681957912
good	good	544.5880377048323
lord	george	542.7740493033056
rover	boy	541.3669050549444
easy	chair	540.3066245209053
face	hand	539.8879753402562
good	evil	534.7933411826185
hour	day	532.0193965046844
eldest	son	531.6258168178616
foot	long	531.4579209611962
good	sense	530.951177144706
ay	ay	527.5049719713954
eye	looked	526.8552403349447
chapter	vii	523.6994382741851
nineteenth	century	523.6184846724095
eye	open	523.4162539842791
heaven	earth	522.1233802723178
civil	war	521.7745225928353
good	day	521.2631044652762
holding	hand	520.9690718747149
day	week	519.7528871942858
turned	face	519.1209940103224
good	news	518.5642175406635
black	hair	517.8829283058084
sir	replied	515.9763424983463
great	difficulty	515.4219711565778
sir	patrick	514.5717299795061
middle	aged	513.7090610804418
board	ship	511.5134207359644
peter	rabbit	510.8216504102527
time	year	506.20974907230743
human	race	504.2508655328307
father	son	503.0052850119369
long	day	501.0484310439259
public	house	498.06856495504815
story	told	497.6408091616368
set	foot	497.03205996140565
men	arm	496.33562891959053
shut	door	495.49124789841795
chapter	viii	494.7444495327287
great	city	493.7575710807148
white	face	493.25858765637093
lay	hand	493.227849021849
long	year	492.6594936714263
long	long	491.8076462933893
letter	written	491.68796487603964
