young		man		19.26506622415163
le		smyrger		13.611539323343377
prince		prigio		13.51433044864516
captain		broughton		11.674933242787947
cuming		walter		11.036383235143278
young		lady		9.93274491162895
aaron		dunn		8.093347705771736
aaron		trow		8.093347705771736
true		born		7.725468264600293
christmas		eve		7.407375891796715
ne		er		7.35758882342885
ev		ry		6.621829941085965
god		bless		6.389285783151134
edwin		drood		6.253950499914522
san		jose		5.886071058743079
united		state		5.518191617571636
dead		sea		5.150312176400194
lady		rosalind		5.150312176400194
oxney		colne		5.150312176400194
aunt		sally		4.88200687196448
lady		molinda		4.782432735228751
le		puy		4.782432735228751
born		englishman		4.782432735228751
horn		tail		4.414553294057308
general		chasse		4.414553294057308
sir		william		4.335660058247825
young		woman		4.182009136122478
oxney		combe		4.09646092125373
good		bye		4.046673852885865
drawing		room		4.046673852885865
edgworth		be		4.046673852885865
fringing		reef		4.046673852885865
white		rose		4.046673852885865
red		coral		3.814129694951036
helena		landless		3.814129694951036
day		day		3.6787944117144233
good		deal		3.6787944117144233
john		sheppard		3.6787944117144233
patience		woolsworthy		3.6787944117144233
caleb		morton		3.6787944117144233
cap		darkness		3.446250253779594
coral		reef		3.446250253779594
resting		place		3.310914970542981
drury		lane		3.310914970542981
white		coral		3.310914970542981
coral		polypes		3.310914970542981
quarter		mile		3.0783708126081515
jasper		edwin		3.0192883464483304
married		man		2.9430355293715387
great		deal		2.9430355293715387
frere		lubin		2.9430355293715387
left		hand		2.9430355293715387
league		boot		2.9430355293715387
condemn		hold		2.9430355293715387
tom		burton		2.9430355293715387
breaking		house		2.8458266546733215
dear		dear		2.710491371436709
ha		ha		2.6132824967384924
unprotected		female		2.5751560882000963
anthony		trollope		2.5751560882000963
mount		sinai		2.5751560882000963
dead		body		2.5751560882000963
le		frere		2.5751560882000963
year		age		2.5751560882000963
phineas		beckard		2.5751560882000963
augustus		horne		2.5751560882000963
black		silk		2.5751560882000963
jonathan		wild		2.5751560882000963
civil		war		2.5751560882000963
lang		syne		2.5751560882000963
young		ruthven		2.5751560882000963
king		james		2.5751560882000963
abel		ring		2.5751560882000963
john		broughton		2.5751560882000963
danny		lund		2.5751560882000963
proctor		theory		2.5751560882000963
looked		face		2.342611930265267
neville		landless		2.342611930265267
prince		thought		2.2454030555670497
long		time		2.207276647028654
beneath		foot		2.207276647028654
entered		room		2.207276647028654
susan		bell		2.207276647028654
matter		settled		2.207276647028654
open		door		2.207276647028654
king		queen		2.207276647028654
short		time		2.207276647028654
joseph		blake		2.207276647028654
william		field		2.207276647028654
encircling		reef		2.207276647028654
hotel		de		2.207276647028654
de		ambassadeurs		2.207276647028654
fifty		year		2.207276647028654
punt		arena		2.207276647028654
word		spoken		2.207276647028654
terminal		moraine		2.207276647028654
glacier		spur		2.207276647028654
diploma		case		2.207276647028654
anastasia		bergen		2.207276647028654
opium		den		2.207276647028654
john		jasper		2.207276647028654
opium		hag		2.110067772330437
tra		la		2.0629660694078593
year		year		2.0428351963504223
true		englishman		1.9919028400107957
la		la		1.9779678824079185
honest		man		1.9747324890938245
fall		love		1.9747324890938245
sea		water		1.9747324890938245
father		agnes		1.9747324890938245
blue		surtout		1.9747324890938245
helena		datchery		1.9747324890938245
edwin		rosa		1.9389713425929396
sound		voice		1.8891842742250757
landed		property		1.8891842742250757
howe		er		1.857712844745946
coat		waistcoat		1.8393972058572117
dear		fellow		1.8393972058572117
dear		friend		1.8393972058572117
tone		voice		1.8393972058572117
cloud		dust		1.8393972058572117
told		story		1.8393972058572117
bell		house		1.8393972058572117
young		men		1.8393972058572117
royal		family		1.8393972058572117
sound		asleep		1.8393972058572117
wishing		cap		1.8393972058572117
prince		alphonso		1.8393972058572117
red		hot		1.8393972058572117
crown		prince		1.8393972058572117
rose		surface		1.8393972058572117
royal		highness		1.8393972058572117
relic		general		1.8393972058572117
needle		case		1.8393972058572117
white		horse		1.8393972058572117
blake		alias		1.8393972058572117
iron		bar		1.8393972058572117
general		talboys		1.8393972058572117
field		glass		1.8393972058572117
carbonate		lime		1.8393972058572117
sea		anemone		1.8393972058572117
great		mass		1.8393972058572117
coral		rock		1.8393972058572117
barrier		reef		1.8393972058572117
high		road		1.8393972058572117
cigarette		ash		1.8393972058572117
ti		plain		1.8393972058572117
voice		agnes		1.8393972058572117
poor		wretch		1.8393972058572117
princess		puffer		1.8393972058572117
dig		dig		1.7919753995268586
stealing		good		1.742188331158995
bright		eye		1.6068530479223821
men		work		1.6068530479223821
pretty		girl		1.6068530479223821
poor		girl		1.6068530479223821
poor		molinda		1.6068530479223821
form		coral		1.6068530479223821
bonnie		bank		1.6068530479223821
durdles		key		1.6068530479223821
born		english		1.6068530479223821
merry		jest		1.5213048330536334
keith		craigentolly		1.5213048330536334
good		natured		1.4715177646857693
arabian		night		1.4715177646857693
arm		leg		1.4715177646857693
good		humoured		1.4715177646857693
continued		dawkins		1.4715177646857693
palm		tree		1.4715177646857693
english		gentleman		1.4715177646857693
bless		soul		1.4715177646857693
hand		justice		1.4715177646857693
penny		sold		1.4715177646857693
evaluate		pi		1.4715177646857693
greek		text		1.4715177646857693
myrtle		peat		1.4715177646857693
villanelle		art		1.4715177646857693
art		mute		1.4715177646857693
hath		master		1.4715177646857693
man		desire		1.4715177646857693
heart		heart		1.4715177646857693
book		man		1.4715177646857693
eldest		son		1.4715177646857693
turkish		saddle		1.4715177646857693
considerable		distance		1.4715177646857693
good		nature		1.4715177646857693
asked		question		1.4715177646857693
saratoga		spring		1.4715177646857693
winter		day		1.4715177646857693
kate		brien		1.4715177646857693
